ANO_EJE,EJECUTORA_NOMBRE,PROVINCIA_EJECUTORA_NOMBRE,TIPO_ACT_PROY,PRODUCTO_PROYECTO_NOMBRE,FUNCION_NOMBRE,DEPARTAMENTO_META_NOMBRE,MONTO_DEVENGADO
2019,MUNICIPALIDAD DISTRITAL DE MORROPE,LAMBAYEQUE,2,"CREACION DEL SERVICIO DE ENERGIA ELECTRICA MEDIANTE PANELES SOLARES EN EL ANEXO EL APOSENTO ALTO - EL MIRADOR DEL CASERIO MONTE HERMOSO, DISTRITO DE MORROPE - LAMBAYEQUE - LAMBAYEQUE",ENERGIA,LAMBAYEQUE,3473.42
2019,MUNICIPALIDAD PROVINCIAL DE REQUENA,REQUENA,2,MEJORAMIENTO DE LOS SERVICIOS DE ELECTRIFICACION CON PANELES SOLARES EN LA COMUNIDAD DE NUEVO SAN ANTONIO DEL DISTRITO DE REQUENA - PROVINCIA DE REQUENA - DEPARTAMENTO DE LORETO,ENERGIA,LORETO,31300
2019,MUNICIPALIDAD DISTRITAL DE YANACANCHA,PASCO,2,"MEJORAMIENTO DE LA ILUMINACION NOCTURNA EN LAS PRINCIPALES AVENIDAS Y PARQUES CON PANELES SOLARES EN LA ZONA URBANA, DISTRITO DE YANACANCHA - PASCO - PASCO",ENERGIA,PASCO,247337.46
2019,MUNICIPALIDAD DISTRITAL DE YANACANCHA,PASCO,2,"MEJORAMIENTO DE LA ILUMINACION NOCTURNA EN LAS PRINCIPALES AVENIDAS Y PARQUES CON PANELES SOLARES EN LA ZONA URBANA, DISTRITO DE YANACANCHA - PASCO - PASCO",ENERGIA,PASCO,9903.1
2018,REGION UCAYALI-SEDE CENTRAL,CORONEL PORTILLO,2,MEJORAMIENTO DEL SERVICIO ELECTRICO MEDIANTE CENTRAL SOLAR - EOLICA EN LA LOCALIDAD DE MASISEA - DISTRITO DE MASISEA - PROVINCIA DE CORONEL PORTILLO - DEPARTAMENTO DE UCAYALI,ENERGIA,UCAYALI,24600
2018,REGION UCAYALI-SEDE CENTRAL,CORONEL PORTILLO,2,MEJORAMIENTO DEL SERVICIO ELECTRICO MEDIANTE CENTRAL SOLAR - EOLICA EN LA LOCALIDAD DE MASISEA - DISTRITO DE MASISEA - PROVINCIA DE CORONEL PORTILLO - DEPARTAMENTO DE UCAYALI,ENERGIA,UCAYALI,11900
2018,REGION UCAYALI-SEDE CENTRAL,CORONEL PORTILLO,2,MEJORAMIENTO DEL SERVICIO ELECTRICO MEDIANTE CENTRAL SOLAR - EOLICA EN LA LOCALIDAD DE MASISEA - DISTRITO DE MASISEA - PROVINCIA DE CORONEL PORTILLO - DEPARTAMENTO DE UCAYALI,ENERGIA,UCAYALI,24800
2018,REGION UCAYALI-SEDE CENTRAL,CORONEL PORTILLO,2,MEJORAMIENTO DEL SERVICIO ELECTRICO MEDIANTE CENTRAL SOLAR - EOLICA EN LA LOCALIDAD DE MASISEA - DISTRITO DE MASISEA - PROVINCIA DE CORONEL PORTILLO - DEPARTAMENTO DE UCAYALI,ENERGIA,UCAYALI,27000
2018,MUNICIPALIDAD DISTRITAL DE ALTO LARAN,CHINCHA,2,"ADQUISICION DE PANELES; RENOVACION DE BATERIAS RECARGABLES Y ; EN EL(LA) ELECTRIFICACION RURAL SISTEMA FOTOVOLTAICO EN LA LOCALIDAD HUACHINGA, DISTRITO DE ALTO LARAN, PROVINCIA CHINCHA, DEPARTAMENTO ICA",ENERGIA,ICA,6400
2018,MUNICIPALIDAD DISTRITAL DE MORROPE,LAMBAYEQUE,2,"CREACION DEL SERVICIO DE ENERGIA ELECTRICA MEDIANTE PANELES SOLARES EN EL ANEXO EL APOSENTO ALTO - EL MIRADOR DEL CASERIO MONTE HERMOSO, DISTRITO DE MORROPE - LAMBAYEQUE - LAMBAYEQUE",ENERGIA,LAMBAYEQUE,11475
