,PERIODO,DEPARTAMENTO_META_NOMBRE,MONTO_DEVENGADO_CONVENCIONAL,NUMERO_PROYECTO_CONVENCIONAL,MONTO_DEVENGADO_RENOVABLE,NUMERO_PROYECTO_RENOVABLE,INDICADOR_1
123,2019,APURIMAC,4760275.45,64,0.0,0.0,0.0
124,2019,AREQUIPA,1970886.88,54,0.0,0.0,0.0
125,2019,AYACUCHO,10906652.22,105,0.0,0.0,0.0
126,2019,CAJAMARCA,145604624.2,505,0.0,0.0,0.0
127,2019,CUSCO,34981727.4,1016,37061.85,3.0,0.0010594631184508059
128,2019,HUANCAVELICA,2104755.2,64,276021.3,9.0,0.1311417593837041
129,2019,HUANUCO,18196936.57,54,0.0,0.0,0.0
130,2019,ICA,3711220.83,69,17474.12,2.0,0.004708456004220045
131,2019,JUNIN,4112286.53,34,76187.5,1.0,0.018526797547835268
132,2019,LA LIBERTAD,19767314.75,141,0.0,0.0,0.0
133,2019,LAMBAYEQUE,6543265.65,169,200951.93,9.0,0.030711259598637873
134,2019,LIMA,11016875.36,169,0.0,0.0,0.0
135,2019,LORETO,13644973.01,154,97952.6,2.0,0.007178658391497984
136,2019,MADRE DE DIOS,330263.04,23,0.0,0.0,0.0
137,2019,MOQUEGUA,7771999.18,254,0.0,0.0,0.0
138,2019,PASCO,1386206.44,18,257240.56,2.0,0.18557160937731612
139,2019,PIURA,17277044.09,144,93286.62,3.0,0.005399454878626752
140,2019,PUNO,16884129.0,159,3800.0,1.0,0.00022506343087049383
141,2019,SAN MARTIN,1627654.3,48,0.0,0.0,0.0
142,2019,TACNA,992925.9,33,0.0,0.0,0.0
143,2019,TUMBES,353433.14,11,0.0,0.0,0.0
144,2019,UCAYALI,3103582.49,50,5600.0,1.0,0.0018043664114112204
145,2020,AMAZONAS,8587296.26,112,0.0,0.0,0.0
146,2020,ANCASH,10513681.28,183,0.0,0.0,0.0
147,2020,APURIMAC,6174935.0,107,0.0,0.0,0.0
148,2020,AREQUIPA,1667777.39,65,26826.7,5.0,0.01608530020904049
149,2020,AYACUCHO,3510635.16,63,0.0,0.0,0.0
150,2020,CAJAMARCA,39119958.45,243,0.0,0.0,0.0
151,2020,CUSCO,28512037.63,974,1000.0,3.0,3.5072905450567055e-05
152,2020,HUANCAVELICA,4806339.42,94,0.0,0.0,0.0
153,2020,HUANUCO,5543434.72,35,0.0,0.0,0.0
154,2020,ICA,1225085.78,53,0.0,0.0,0.0
155,2020,JUNIN,5887360.69,34,344725.61,4.0,0.05855350608729223
156,2020,LA LIBERTAD,7318034.37,136,0.0,0.0,0.0
157,2020,LAMBAYEQUE,4918666.95,146,0.0,0.0,0.0
158,2020,LIMA,4496254.35,86,0.0,0.0,0.0
159,2020,LORETO,8747377.7,221,16760.0,1.0,0.001916002781039168
160,2020,MADRE DE DIOS,89856.75,6,0.0,0.0,0.0
161,2020,MOQUEGUA,6711101.15,342,0.0,0.0,0.0
162,2020,PASCO,1354950.45,34,126178.43,3.0,0.09312401792995456
163,2020,PIURA,4184603.73,140,319956.09,5.0,0.07646030798715558
164,2020,PUNO,4084010.89,102,0.0,0.0,0.0
165,2020,SAN MARTIN,4430280.7,53,653259.67,19.0,0.14745333630891605
166,2020,TACNA,679145.36,64,0.0,0.0,0.0
167,2020,TUMBES,229837.22,8,0.0,0.0,0.0
168,2020,UCAYALI,1748029.53,26,368097.75,6.0,0.21057867941166875
